,nbr of visits,accuracy,recall,f1
0,2,0.9898348157560356,0.9898348157560356,0.9898348157560356
1,12,0.6854919223089463,0.6302414231257941,0.656706628522025
2,22,0.8458038361469059,0.7211835178798336,0.778538236982192
3,32,0.813653369784248,0.6905972045743315,0.747091943647868
4,42,0.8845374236098578,0.8360864040660732,0.8596297480859071
5,52,0.868881143563476,0.7087283745479452,0.7806757166250949
6,62,0.870416361839485,0.778098648492557,0.8216725847545626
7,72,0.9016098083760034,0.7839898348157623,0.8386961015232696
8,82,0.9438580902367383,0.9151598084253658,0.9292874368379455
9,92,0.9466225148563135,0.9221728081321451,0.9342377220531508
10,102,0.9268329298824819,0.8848248320929407,0.9053418463178817
11,112,0.9474901492690563,0.8939008894536239,0.9199157260672558
12,122,0.9482456340779097,0.9135051733526981,0.9305512734378836
13,132,0.9287474067651973,0.8576874205844948,0.8918041178863024
14,142,0.9683329377103171,0.9362981787378221,0.9520461554579477
15,152,0.9488263889153301,0.8703939008894576,0.9079194054102048
16,162,0.9572638289283788,0.9279361045561855,0.9423718436128531
17,172,0.9609973888881146,0.9419132328916341,0.9513596140647241
18,182,0.9489725437628848,0.9271495129182539,0.9379341057148399
19,192,0.9518189349828476,0.9242149210383025,0.9378138448989871
20,2,0.9898348157560356,0.9898348157560356,0.9898348157560356
21,12,0.6854919223089463,0.6302414231257941,0.656706628522025
22,22,0.8458038361469059,0.7211835178798336,0.778538236982192
23,32,0.813653369784248,0.6905972045743315,0.747091943647868
24,42,0.8845374236098578,0.8360864040660732,0.8596297480859071
25,52,0.868881143563476,0.7087283745479452,0.7806757166250949
26,62,0.870416361839485,0.778098648492557,0.8216725847545626
27,72,0.9016098083760034,0.7839898348157623,0.8386961015232696
28,82,0.9438580902367383,0.9151598084253658,0.9292874368379455
29,92,0.9466225148563135,0.9221728081321451,0.9342377220531508
30,102,0.9268329298824819,0.8848248320929407,0.9053418463178817
31,112,0.9474901492690563,0.8939008894536239,0.9199157260672558
32,122,0.9482456340779097,0.9135051733526981,0.9305512734378836
33,132,0.9287474067651973,0.8576874205844948,0.8918041178863024
34,142,0.9683329377103171,0.9362981787378221,0.9520461554579477
35,152,0.9488263889153301,0.8703939008894576,0.9079194054102048
36,162,0.9572638289283788,0.9279361045561855,0.9423718436128531
37,172,0.9609973888881146,0.9419132328916341,0.9513596140647241
38,182,0.9489725437628848,0.9271495129182539,0.9379341057148399
39,192,0.9518189349828476,0.9242149210383025,0.9378138448989871
40,2,0.9898348157560356,0.9898348157560356,0.9898348157560356
41,12,0.6854919223089463,0.6302414231257941,0.656706628522025
42,22,0.8458038361469059,0.7211835178798336,0.778538236982192
43,32,0.813653369784248,0.6905972045743315,0.747091943647868
44,42,0.8845374236098578,0.8360864040660732,0.8596297480859071
45,52,0.868881143563476,0.7087283745479452,0.7806757166250949
46,62,0.870416361839485,0.778098648492557,0.8216725847545626
47,72,0.9016098083760034,0.7839898348157623,0.8386961015232696
48,82,0.9438580902367383,0.9151598084253658,0.9292874368379455
49,92,0.9466225148563135,0.9221728081321451,0.9342377220531508
50,102,0.9268329298824819,0.8848248320929407,0.9053418463178817
51,112,0.9474901492690563,0.8939008894536239,0.9199157260672558
52,122,0.9482456340779097,0.9135051733526981,0.9305512734378836
53,132,0.9287474067651973,0.8576874205844948,0.8918041178863024
54,142,0.9683329377103171,0.9362981787378221,0.9520461554579477
55,152,0.9488263889153301,0.8703939008894576,0.9079194054102048
56,162,0.9572638289283788,0.9279361045561855,0.9423718436128531
57,172,0.9609973888881146,0.9419132328916341,0.9513596140647241
58,182,0.9489725437628848,0.9271495129182539,0.9379341057148399
59,192,0.9518189349828476,0.9242149210383025,0.9378138448989871
60,2,0.9898348157560356,0.9898348157560356,0.9898348157560356
61,12,0.6854919223089463,0.6302414231257941,0.656706628522025
62,22,0.8458038361469059,0.7211835178798336,0.778538236982192
63,32,0.813653369784248,0.6905972045743315,0.747091943647868
64,42,0.8845374236098578,0.8360864040660732,0.8596297480859071
65,52,0.868881143563476,0.7087283745479452,0.7806757166250949
66,62,0.870416361839485,0.778098648492557,0.8216725847545626
67,72,0.9016098083760034,0.7839898348157623,0.8386961015232696
68,82,0.9438580902367383,0.9151598084253658,0.9292874368379455
69,92,0.9466225148563135,0.9221728081321451,0.9342377220531508
70,102,0.9268329298824819,0.8848248320929407,0.9053418463178817
71,112,0.9474901492690563,0.8939008894536239,0.9199157260672558
72,122,0.9482456340779097,0.9135051733526981,0.9305512734378836
73,132,0.9287474067651973,0.8576874205844948,0.8918041178863024
74,142,0.9683329377103171,0.9362981787378221,0.9520461554579477
75,152,0.9488263889153301,0.8703939008894576,0.9079194054102048
76,162,0.9572638289283788,0.9279361045561855,0.9423718436128531
77,172,0.9609973888881146,0.9419132328916341,0.9513596140647241
78,182,0.9489725437628848,0.9271495129182539,0.9379341057148399
79,192,0.9518189349828476,0.9242149210383025,0.9378138448989871
